user_id,travel_reason,expectations_from_neighbor,conversation_trigger,openness_score
83c0603f-a7d7-466d-8985-bf8a95dee7d5,Visite famille/amis,Réseautage pro,Ça dépend,5
46dc10a9-9467-4317-a586-e31b4d4ade7c,Loisirs/vacances,Rester tranquille,La conversation est légère,4
a9471826-cc99-4bad-aafd-98631dbb306a,Loisirs/vacances,Réseautage pro,Il/elle partage mes centres d’intérêt,1
c8886065-6a78-4bc2-b99a-c3a403c035e2,Travail/études,Rester tranquille,La conversation est légère,5
11726303-c1d8-4803-a0e7-7d0ccf315984,Visite famille/amis,Autre,Ça dépend,1
3bd0f1aa-b299-4e0e-829e-cdd0841629c0,Autre,Échanger sur un sujet commun,Il/elle partage mes centres d’intérêt,2
b313f398-5c1c-43ed-8347-0d6a5c82d7c3,Travail/études,Discussion sympa,La conversation est légère,3
e28c159b-d369-4191-ad42-fdcfc627bd03,Travail/études,Discussion sympa,La conversation est légère,5
8cb830cb-38fd-4359-a520-6c108983fdbf,Travail/études,Rester tranquille,Le trajet est long,4
c7ac5f5f-a8fa-43a6-8579-393b2fa0d605,Autre,Réseautage pro,Il/elle partage mes centres d’intérêt,2
8964a538-56d9-4e88-8361-f10ece5817dd,Loisirs/vacances,Rester tranquille,Le trajet est long,5
ce6444e7-58ea-41a0-b194-7cc286774a83,Loisirs/vacances,Réseautage pro,Ça dépend,2
2cf85f74-1c25-4f30-878d-5a909f99bb84,Visite famille/amis,Échanger sur un sujet commun,Ça dépend,5
698f1480-b4b4-4735-9eb9-f91b75a9ac77,Autre,Réseautage pro,La conversation est légère,4
ce16a19b-6277-461d-a6c0-c4c2ba531cb4,Travail/études,Réseautage pro,Le trajet est long,3
304a3c75-c359-472b-bd41-8ead72ee60af,Travail/études,Réseautage pro,Il/elle partage mes centres d’intérêt,1
3031e838-9abf-48d2-b964-a76f9d9b2266,Loisirs/vacances,Rester tranquille,La conversation est légère,1
c91eb5d3-cb6e-48a7-9715-4d9fdb2beb1c,Loisirs/vacances,Discussion sympa,Jamais,3
608f8fb7-a1a5-4fbb-abba-d794478f32ec,Visite famille/amis,Discussion sympa,Jamais,3
7365caf3-324f-4c73-9ebd-c59b20d5da7c,Loisirs/vacances,Discussion sympa,Le trajet est long,3
cc52b439-bfa2-42e2-8857-fd92c111c7c4,Loisirs/vacances,Rester tranquille,Jamais,5
991d1b65-2807-4317-85c7-beaaffaa7e22,Visite famille/amis,Autre,La conversation est légère,1
eeb2b04b-cf23-4243-a7a5-bf7faa8e1b1a,Visite famille/amis,Autre,Jamais,5
d21280cc-b06e-4c60-8a01-7d0ba60983b7,Visite famille/amis,Discussion sympa,Jamais,3
ece82b13-ec4d-4830-aceb-3c3cf27a53aa,Loisirs/vacances,Autre,La conversation est légère,2
ca21476a-c8e6-4cc6-bafe-4d287d602621,Visite famille/amis,Rester tranquille,Ça dépend,3
7f591db2-85f0-45a9-988a-e694bf981b54,Travail/études,Autre,Le trajet est long,4
c43b571b-7544-47fb-a105-5de6b7d97a8a,Visite famille/amis,Réseautage pro,Ça dépend,5
49def4f7-069d-40c9-9ce8-db35c3c91b4a,Visite famille/amis,Échanger sur un sujet commun,Le trajet est long,2
05438173-1181-4a9a-a329-2891a8edd1d5,Travail/études,Réseautage pro,Le trajet est long,4
6d2767df-21a7-4c2a-ba39-3a7c731427d2,Autre,Autre,Ça dépend,5
585a04c8-ccc5-42a1-bc96-13e07df212b3,Autre,Discussion sympa,La conversation est légère,1
d4a76734-23de-42c1-a2ab-294403fe0bb4,Travail/études,Discussion sympa,Le trajet est long,4
a84e26b9-ae1a-4b8b-9e47-74d1384ad09f,Visite famille/amis,Discussion sympa,La conversation est légère,4
0622674f-5f09-48ae-8164-780af3fb324b,Autre,Autre,La conversation est légère,5
50e483a7-e256-4654-b5a4-826b78f7793b,Autre,Discussion sympa,Le trajet est long,2
c2c5ea96-e33d-490c-a272-51d4f4cd4470,Loisirs/vacances,Échanger sur un sujet commun,La conversation est légère,1
eeb16033-3bb7-4501-8d78-2a219a889fbc,Autre,Réseautage pro,Ça dépend,5
202af9db-c811-48e6-87bc-03646b09d88b,Autre,Discussion sympa,Il/elle partage mes centres d’intérêt,3
ea9f9e4a-4021-47e5-b76d-320c04c444a2,Travail/études,Réseautage pro,Il/elle partage mes centres d’intérêt,3
993dc773-9681-44e7-828f-90b6006d4724,Travail/études,Échanger sur un sujet commun,Il/elle partage mes centres d’intérêt,3
bdd77616-2a6f-4130-9f0e-5a7009b30531,Loisirs/vacances,Autre,Il/elle partage mes centres d’intérêt,3
723b2255-9fde-4a77-b15f-256a75df6d1a,Autre,Rester tranquille,La conversation est légère,2
924d405b-c2a6-4763-846b-6d382e3880a5,Loisirs/vacances,Réseautage pro,Il/elle partage mes centres d’intérêt,4
d64c038a-3f57-4b0e-a8e1-22058e157696,Loisirs/vacances,Rester tranquille,Ça dépend,2
3789ecc9-29bf-48a8-b4be-d1b6288fc101,Loisirs/vacances,Réseautage pro,Le trajet est long,1
81270fac-e695-4ede-ad7a-b53a03e4d96d,Loisirs/vacances,Rester tranquille,Il/elle partage mes centres d’intérêt,3
39ff5c44-a8a7-4e60-bed3-d06951d53927,Travail/études,Échanger sur un sujet commun,La conversation est légère,3
c2767d3e-1d8d-403b-94eb-0d1a0a563a9a,Travail/études,Autre,Le trajet est long,2
a377a2bf-465c-4d35-bb9f-4b56708daf71,Travail/études,Échanger sur un sujet commun,Il/elle partage mes centres d’intérêt,3
f980b0e8-cf4a-4b6f-91b6-c1c9bb44193e,Visite famille/amis,Échanger sur un sujet commun,Ça dépend,4
32436e66-a792-4844-bef7-88aea16730a4,Autre,Réseautage pro,Jamais,3
9e60402a-e4b9-48f1-8c0c-77d020352b57,Visite famille/amis,Discussion sympa,Il/elle partage mes centres d’intérêt,3
4c225670-637d-4155-8ad5-4a030b2e8c9e,Autre,Échanger sur un sujet commun,Il/elle partage mes centres d’intérêt,1
fddbc91b-a08d-4cfb-bbbe-3d1be26dad63,Autre,Autre,Il/elle partage mes centres d’intérêt,5
af88bcb9-252a-482b-ab30-40425e2c8387,Autre,Autre,Il/elle partage mes centres d’intérêt,3
318d7408-f165-4ea7-b011-dfd1ad935294,Travail/études,Échanger sur un sujet commun,Le trajet est long,1
787e484c-eec4-4886-8adb-209f9089050c,Loisirs/vacances,Autre,Il/elle partage mes centres d’intérêt,1
eee86648-2e94-4683-9094-a9b214231158,Loisirs/vacances,Rester tranquille,Jamais,5
48991667-99b8-432e-80d7-8e1e3011965c,Visite famille/amis,Rester tranquille,Le trajet est long,5
30e6cfd8-c268-4ff9-ad58-3d1ae01b1054,Visite famille/amis,Rester tranquille,Ça dépend,4
cbe1620f-1bea-4760-89c2-33167c77d32c,Loisirs/vacances,Échanger sur un sujet commun,Ça dépend,2
0474b38a-6487-4c37-81af-17d59ec8ab8c,Autre,Autre,Jamais,2
23fd79f0-c5e7-4e6e-9042-834730d61bfd,Loisirs/vacances,Autre,Le trajet est long,1
61a03ef7-4b3f-4dc3-a89e-e6a36bd843d7,Visite famille/amis,Autre,Le trajet est long,1
1432185a-2654-4393-b93c-8b0391ff04fa,Autre,Autre,Il/elle partage mes centres d’intérêt,1
cf7a61ae-f84d-480e-aa07-ea84a7be68c6,Visite famille/amis,Autre,Le trajet est long,5
ab0a792f-b97f-4d15-bfc0-03c99651ce83,Travail/études,Autre,Jamais,2
8ee72eac-1571-4ef1-9ca1-89d62dc5044b,Autre,Discussion sympa,La conversation est légère,5
e3ce31d4-dbb4-4adf-90e2-d9e8c31eb677,Visite famille/amis,Échanger sur un sujet commun,La conversation est légère,4
11584a98-3148-4fcb-8719-bc8322bd01fc,Travail/études,Échanger sur un sujet commun,Jamais,3
8a06d34d-1917-4dd2-936b-8e95fd3b14bd,Loisirs/vacances,Discussion sympa,Il/elle partage mes centres d’intérêt,4
aa363c97-da72-4df3-a632-bdeb68766dfc,Loisirs/vacances,Autre,Il/elle partage mes centres d’intérêt,2
367e7ef7-93c4-41dd-a044-cd147f1a060d,Loisirs/vacances,Discussion sympa,Le trajet est long,2
1adec028-e2ac-4aa7-aac1-2fa0dfa16044,Loisirs/vacances,Réseautage pro,Le trajet est long,2
607bbfb2-a4ac-4caa-9459-de00cb1adf7f,Autre,Autre,Le trajet est long,1
50e681fd-f435-4f96-8412-c5e6b8ede220,Loisirs/vacances,Autre,Il/elle partage mes centres d’intérêt,5
b45ff85b-646e-4e46-85ab-e52e3f71bfb5,Autre,Discussion sympa,Jamais,2
9dbd3093-e5cd-41f7-9bce-cd552d5f69c8,Travail/études,Discussion sympa,Jamais,1
71c3e15f-f6c9-4773-91a2-5036137e8658,Autre,Autre,La conversation est légère,2
8a071c27-da9f-44a7-8ad4-b78638a44d49,Travail/études,Rester tranquille,La conversation est légère,1
a652deb3-7854-48c4-baae-ff3cf28b9fee,Visite famille/amis,Rester tranquille,Le trajet est long,2
5eb6b2e6-cc3c-4dde-820b-e56b39fa8ec6,Autre,Rester tranquille,Ça dépend,4
3e89b522-ffe5-4971-8116-a837c4e4f668,Travail/études,Autre,La conversation est légère,1
c980eccb-2eab-4923-9d1f-2de018d0b869,Autre,Rester tranquille,Ça dépend,2
fc4ad265-4dd7-408a-b2af-c60df9c618ef,Visite famille/amis,Rester tranquille,Le trajet est long,3
f99fc461-d631-4ced-b3f7-57bd5d3026c4,Loisirs/vacances,Réseautage pro,Ça dépend,3
ec7c999b-f06f-4796-a0cb-f82163f6d14f,Travail/études,Discussion sympa,Jamais,2
26bb6a05-6fda-4ab0-ba11-4a88824b6dde,Visite famille/amis,Discussion sympa,Ça dépend,4
c4880346-c710-44ab-b4d1-0d9f11c20a00,Autre,Réseautage pro,Ça dépend,2
7adc2abf-76ea-41e0-85ab-3404d0e10baf,Visite famille/amis,Autre,Il/elle partage mes centres d’intérêt,5
c2a5d3a9-0cf2-4365-9bbc-c279c3f9543d,Autre,Discussion sympa,Le trajet est long,2
c3345e56-5284-412e-8f8d-683a4bc942a1,Autre,Échanger sur un sujet commun,Il/elle partage mes centres d’intérêt,3
15b46a81-766b-447c-92ff-f9464bf099ad,Loisirs/vacances,Réseautage pro,Le trajet est long,3
c48b8f0a-b89e-423a-abee-a95fb4767771,Travail/études,Autre,Ça dépend,3
3cb4b71d-1d0a-40ed-83db-9c4ed4e64289,Loisirs/vacances,Réseautage pro,Le trajet est long,4
d5835bba-898d-4a73-a458-26776caa6526,Autre,Échanger sur un sujet commun,Jamais,3
4c69172c-a4fd-43a2-95ff-e9b9d9213221,Autre,Échanger sur un sujet commun,Il/elle partage mes centres d’intérêt,5
ff018785-d6a9-4402-8aa8-e89760d4424d,Loisirs/vacances,Échanger sur un sujet commun,La conversation est légère,4
3118c396-902c-4c82-a69b-2ed08903f573,Loisirs/vacances,Autre,Il/elle partage mes centres d’intérêt,5
51045e78-9cd9-46f8-996e-163385e64a5d,Loisirs/vacances,Échanger sur un sujet commun,Il/elle partage mes centres d’intérêt,4
0b3e62e3-99ef-46dd-bef3-ed31068bea5a,Travail/études,Échanger sur un sujet commun,Il/elle partage mes centres d’intérêt,1
b6ff7ab4-f3cb-422f-b7c1-e22fde3afb2b,Loisirs/vacances,Réseautage pro,Ça dépend,4
934d8c8a-48b1-43c7-a1c3-15e4ea6285fc,Visite famille/amis,Autre,Jamais,5
03808b59-d9b0-4250-88ea-727635fe9e3c,Loisirs/vacances,Échanger sur un sujet commun,La conversation est légère,5
feb70d3c-8fec-4a36-b17d-503ddb71bede,Visite famille/amis,Réseautage pro,Ça dépend,1
3971227d-0c51-4139-b681-fa1acc4c4fbe,Loisirs/vacances,Échanger sur un sujet commun,Il/elle partage mes centres d’intérêt,3
75bd25d3-2666-481e-99cf-1fda8b9b52c7,Loisirs/vacances,Échanger sur un sujet commun,Il/elle partage mes centres d’intérêt,4
bd161f9c-16da-4c6c-a40c-4824c283f0b1,Loisirs/vacances,Discussion sympa,Ça dépend,3
67f5d214-368d-4701-9a21-dc89bba23022,Loisirs/vacances,Rester tranquille,La conversation est légère,3
1d07e206-3f2e-44c3-957e-aa457f49583b,Visite famille/amis,Réseautage pro,Jamais,3
5388867f-a3fe-4128-8e90-c7a28b059170,Autre,Échanger sur un sujet commun,Il/elle partage mes centres d’intérêt,1
27b04b60-43ed-4ac2-b88d-d7b9f1090972,Visite famille/amis,Échanger sur un sujet commun,Il/elle partage mes centres d’intérêt,3
941186ca-8c89-418f-be49-ef624e68cd17,Autre,Discussion sympa,Il/elle partage mes centres d’intérêt,3
82683a94-b530-4521-832f-0f102aa1f04b,Loisirs/vacances,Rester tranquille,Il/elle partage mes centres d’intérêt,5
9d19f032-6d68-4e40-b9d6-227d70c218f7,Autre,Échanger sur un sujet commun,Jamais,3
5dd0d1f6-7e93-473f-85e7-b680ea1689ed,Autre,Échanger sur un sujet commun,Il/elle partage mes centres d’intérêt,2
271a7ec7-09dc-4034-bf27-ee059c9e6aac,Loisirs/vacances,Réseautage pro,Il/elle partage mes centres d’intérêt,1
0d34959f-1f6b-453b-b94c-99c03525b06d,Loisirs/vacances,Échanger sur un sujet commun,Il/elle partage mes centres d’intérêt,3
cb57e1fb-6995-4279-8d73-109e88148f80,Travail/études,Échanger sur un sujet commun,La conversation est légère,1
59934edf-bcc4-4b4c-abdc-106e48f58f98,Autre,Échanger sur un sujet commun,Ça dépend,1
fd243d89-4b71-40db-b49b-368614339ec2,Travail/études,Rester tranquille,Ça dépend,1
df6ba015-4937-4b46-8059-e03a55db407e,Travail/études,Autre,Le trajet est long,1
4139c3d5-992c-4fb4-9b8b-dee497d4dda1,Visite famille/amis,Rester tranquille,Le trajet est long,5
4f7ab1b9-d741-473e-b65e-cf93a4124988,Visite famille/amis,Discussion sympa,Le trajet est long,1
ca8461f8-fdf0-41cc-8216-eb2738c7e838,Visite famille/amis,Réseautage pro,Il/elle partage mes centres d’intérêt,5
88471aed-826b-4d42-8cf9-e54676bc16d7,Loisirs/vacances,Rester tranquille,Ça dépend,1
be1c3c47-b36b-4e80-919c-763d431f54f9,Visite famille/amis,Autre,Il/elle partage mes centres d’intérêt,2
8f07b20e-b91f-44fd-ad48-be4b2e15c442,Loisirs/vacances,Discussion sympa,Jamais,1
50637d53-a903-4e4e-9eb2-405abaf56867,Travail/études,Discussion sympa,Il/elle partage mes centres d’intérêt,2
f65b2efb-7d94-454b-a646-d0584f2b9f2e,Autre,Réseautage pro,La conversation est légère,3
386dad18-aca9-4a5c-bbb3-f2fd98c5ca6e,Autre,Rester tranquille,Jamais,2
5be57959-049b-4ad8-ba66-6e44b7e756db,Visite famille/amis,Discussion sympa,Jamais,5
e2b4a0ed-53d9-43e3-8dd8-b12f1ff122ef,Visite famille/amis,Autre,Il/elle partage mes centres d’intérêt,3
84fabe79-a2fc-47d0-a055-bc4114f8c49e,Visite famille/amis,Autre,La conversation est légère,2
a72ab5d9-7067-4011-88a6-34ac4535d4d9,Autre,Autre,Il/elle partage mes centres d’intérêt,3
d7eaa193-54ba-4b42-abcc-093616b02829,Loisirs/vacances,Discussion sympa,Ça dépend,4
ed40c2a3-b1e3-435c-a2da-898efe9fa217,Travail/études,Échanger sur un sujet commun,Jamais,1
c7bbe8a3-7d99-403e-a9ad-b88fc75aa69a,Autre,Réseautage pro,Jamais,3
fe6cd6e2-3d0b-4bf9-8122-5e4e2dedd2c1,Travail/études,Échanger sur un sujet commun,La conversation est légère,4
7b36bf2b-e6d1-4dd3-ad36-4aac50790aea,Autre,Autre,Ça dépend,3
c467b2e3-80e1-43bc-b396-ed849b8f67a5,Autre,Rester tranquille,Il/elle partage mes centres d’intérêt,1
c157ccaf-28d9-4d8b-b391-d8a07398972c,Visite famille/amis,Réseautage pro,Le trajet est long,2
65ce9381-009f-43b9-80c2-093140021a25,Autre,Autre,La conversation est légère,5
ae3fd657-f750-49a6-925c-b299d75c18af,Loisirs/vacances,Rester tranquille,La conversation est légère,2
0887217f-3c84-4f88-939e-555998db7a58,Travail/études,Autre,Ça dépend,5
e3987d8f-936a-472f-b364-20ecc56c2b6c,Visite famille/amis,Réseautage pro,Jamais,5
c6e66e1d-0ceb-45fc-a22c-58fe863cfd5c,Visite famille/amis,Discussion sympa,Le trajet est long,3
8fdc15ff-8465-4773-b484-1105384fe19f,Loisirs/vacances,Réseautage pro,Jamais,5
02d60368-8193-409c-b566-e48c42e2d0f5,Loisirs/vacances,Discussion sympa,Jamais,1
c550eec4-f673-49a0-9ea5-238a66593792,Visite famille/amis,Échanger sur un sujet commun,La conversation est légère,3
b040efda-e0fc-4f52-8f8c-1a67737c1858,Autre,Autre,Il/elle partage mes centres d’intérêt,1
3fdd4497-89b1-4620-9abe-3bbfdf55f5e4,Autre,Autre,Il/elle partage mes centres d’intérêt,1
62effe2d-9562-4964-b8b7-1934cfcdd1b5,Visite famille/amis,Rester tranquille,La conversation est légère,5
369a7ecd-9fc3-4f41-bd4f-8ab2cd44f38a,Visite famille/amis,Rester tranquille,Ça dépend,4
3be0736d-3c56-4f47-8add-f87068b62728,Loisirs/vacances,Échanger sur un sujet commun,Il/elle partage mes centres d’intérêt,2
e201073b-14e2-4b94-9286-e17908d93264,Autre,Autre,Le trajet est long,4
74983d24-82cb-4876-96e1-cbf6c231937a,Visite famille/amis,Discussion sympa,Il/elle partage mes centres d’intérêt,4
e235cf65-f1cb-4e0e-b25a-e1a6a58aca59,Visite famille/amis,Autre,La conversation est légère,1
bb237419-51f7-4991-827c-82fa3353ce2f,Autre,Autre,Ça dépend,5
a046f0c1-e74b-4fd0-b3a7-7c3e7f032984,Travail/études,Autre,Ça dépend,2
967d1810-5599-4e90-b5c8-aa2384fbb4b1,Visite famille/amis,Réseautage pro,La conversation est légère,2
b023aeb6-4eae-42f9-bb31-3836143d23cf,Loisirs/vacances,Échanger sur un sujet commun,Ça dépend,2
d91b2f59-f6a5-476e-a32b-b71edc9c3ce5,Loisirs/vacances,Discussion sympa,Ça dépend,1
d89b79a7-a4f6-49d1-83bb-9ffcbdeae804,Travail/études,Discussion sympa,Il/elle partage mes centres d’intérêt,1
59258c75-5fb3-46bf-9091-81fcee085296,Autre,Réseautage pro,La conversation est légère,1
6ea11174-0a5d-4ecf-a713-27880355e640,Autre,Discussion sympa,Il/elle partage mes centres d’intérêt,3
52324070-3bd2-475d-a2fe-a91ecd488a42,Travail/études,Discussion sympa,La conversation est légère,5
686ebd49-dfb1-4df4-ad02-798110ba8b31,Loisirs/vacances,Discussion sympa,Jamais,4
48d58c5a-b255-4692-91a8-6857629d98cc,Travail/études,Autre,Ça dépend,3
bcb11382-5906-4a9f-a076-e0a7ebb26ea8,Visite famille/amis,Échanger sur un sujet commun,Le trajet est long,5
2009a41c-57bd-4ccc-bfe1-fddcf35d158e,Loisirs/vacances,Échanger sur un sujet commun,Il/elle partage mes centres d’intérêt,4
311ec237-1a84-4cf7-9848-eb8b27081859,Loisirs/vacances,Discussion sympa,Jamais,5
f4ed125b-5f1d-40e4-b496-f1b4d6b5ff62,Visite famille/amis,Autre,Le trajet est long,5
8fe22d11-aa21-446f-844a-30ef66ae32eb,Autre,Autre,Le trajet est long,4
fd0d91ba-b920-4ea7-a43b-d05750ccda9c,Visite famille/amis,Rester tranquille,Ça dépend,1
922349b3-f964-4daf-9f16-b7f5c0983d82,Travail/études,Discussion sympa,Le trajet est long,2
236822b2-3351-4470-97a3-430c3de23d00,Visite famille/amis,Rester tranquille,La conversation est légère,5
d7a8a88b-e285-4bb5-bf0a-d1a5e511ebd8,Visite famille/amis,Discussion sympa,Le trajet est long,5
8b318303-a7dc-4356-834a-dc583793cec6,Visite famille/amis,Échanger sur un sujet commun,La conversation est légère,5
58b697fa-3787-4654-91aa-a0378d7ea639,Travail/études,Autre,Le trajet est long,5
b3944f02-e31a-43cd-9852-804bbc7aa0c6,Autre,Discussion sympa,La conversation est légère,5
46ebff8b-ca24-4a6d-8744-f9c309c2a91b,Loisirs/vacances,Échanger sur un sujet commun,Jamais,4
061156cc-3aee-4c92-a515-46cecc0e600b,Visite famille/amis,Autre,Il/elle partage mes centres d’intérêt,3
3fb599f8-ec91-4acd-90f0-ff3c9039e654,Visite famille/amis,Discussion sympa,Ça dépend,5
4d2be8dc-cc22-4799-a028-f177254f19d5,Loisirs/vacances,Rester tranquille,Ça dépend,3
2769225a-afcf-43f6-b15d-deca526a4a2a,Loisirs/vacances,Discussion sympa,Le trajet est long,5
d02d59a6-98bf-4b46-ae6f-ecb670b7804b,Autre,Échanger sur un sujet commun,Le trajet est long,2
2df68d7a-e69d-4b03-8c75-14425fb4258f,Loisirs/vacances,Échanger sur un sujet commun,Il/elle partage mes centres d’intérêt,1
bafb7f0d-8bcc-45ac-b584-4d37a0ea8891,Visite famille/amis,Rester tranquille,Jamais,5
9b4d8eae-c6cb-42fd-8527-c57e4052ba7d,Autre,Échanger sur un sujet commun,Il/elle partage mes centres d’intérêt,2
c7c38b8c-cd2f-42e5-81f0-df0dbb73faa9,Visite famille/amis,Échanger sur un sujet commun,Ça dépend,5
a7c431d9-9046-4306-951a-9fff928d1799,Autre,Rester tranquille,La conversation est légère,1
4f08c37e-614c-4563-b6d1-b9b8fedaa75e,Autre,Réseautage pro,La conversation est légère,5
a6f83353-36f4-4837-9ebd-bd0ea9016640,Visite famille/amis,Rester tranquille,Ça dépend,4
0bb90842-a043-4737-983c-f6f9ac7e6d60,Loisirs/vacances,Autre,Ça dépend,3
01c282ba-4a72-43b3-a7af-af83e774e3d5,Loisirs/vacances,Autre,Il/elle partage mes centres d’intérêt,2
2c66aab9-9bb2-49c5-a67a-18ade2a5e741,Autre,Échanger sur un sujet commun,Ça dépend,5
b0aa0a5e-851b-4c45-b10f-10e3da6be19b,Travail/études,Autre,Il/elle partage mes centres d’intérêt,4
c8971df6-aefb-48e4-a5e9-ab05fe0b90e1,Autre,Rester tranquille,Jamais,5
07f3ee0d-d5b8-4aba-abb0-9ae3a216574f,Loisirs/vacances,Discussion sympa,La conversation est légère,5
de9cc54c-9fde-4a53-84fb-a460c52f0d13,Travail/études,Autre,Il/elle partage mes centres d’intérêt,4
270e6707-bb4d-41f0-949f-4864e189acab,Loisirs/vacances,Autre,La conversation est légère,1
b5fff7e8-5cd5-4917-b3fe-d7d018f54cc5,Travail/études,Autre,Le trajet est long,5
5a4705e0-6f3a-495f-accf-0a4571e4a23e,Travail/études,Autre,Le trajet est long,3
53722d90-a40d-4b77-974b-1c5c0dd936f9,Loisirs/vacances,Rester tranquille,Le trajet est long,4
e10cfcf3-0f0e-4fa3-bf2a-c3b0c33cb3ca,Visite famille/amis,Rester tranquille,La conversation est légère,4
37b90753-ec61-4769-ad43-81212f19f430,Autre,Autre,Il/elle partage mes centres d’intérêt,5
5ced4ac2-c70b-40dd-b58b-42322eeb6005,Autre,Autre,Il/elle partage mes centres d’intérêt,5
b219d5ab-7235-4c87-a6e2-e53476e492e2,Loisirs/vacances,Autre,Le trajet est long,2
dec9c1c1-00ab-49b6-ba40-5d91d788f82a,Loisirs/vacances,Discussion sympa,Le trajet est long,2
6f98e0b3-31d9-41c6-8258-ceda4d0cb509,Visite famille/amis,Échanger sur un sujet commun,Ça dépend,5
f23057f3-f5f3-49bc-889b-9176212512ca,Visite famille/amis,Échanger sur un sujet commun,Il/elle partage mes centres d’intérêt,4
4a816004-5055-4e32-98e9-710360fbd029,Autre,Autre,Le trajet est long,4
6f10a6c9-73c9-4e87-8f4a-c0f0ceb04a79,Autre,Échanger sur un sujet commun,Jamais,3
321c7f15-b3b9-4b6f-947e-b8ecaa76f3fe,Autre,Autre,Il/elle partage mes centres d’intérêt,1
c5597e07-2f90-4349-bed3-44d27f97febc,Loisirs/vacances,Autre,La conversation est légère,1
7731db82-27a7-48bb-b383-55332ca687d7,Autre,Autre,Ça dépend,3
4e81e9ef-3c5c-4c05-bc4c-45a34438b014,Loisirs/vacances,Échanger sur un sujet commun,Le trajet est long,4
b5eaf7ae-8bd4-4cf1-82a9-5909d6d3b3cd,Autre,Réseautage pro,La conversation est légère,3
8a23281b-35c1-4ac9-b346-ef4c312e31ee,Autre,Échanger sur un sujet commun,Ça dépend,4
56bcbbf6-73d2-4447-b052-dce059eee0e2,Visite famille/amis,Réseautage pro,Le trajet est long,4
